"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Total Cal","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"40515999","2019-11-04 18:33:00","v1000m/1:00r...10 row","""13:10.2""","790.2","10:00.0","600","3200","644","26","","2:03.4","186","939","213","","115","26","Lwt","Indoor Rower","No",""
"40515998","2019-11-03 11:18:00","10000m row","""45:18.9""","2718.9","","","10000","","23","","2:15.9","139","779","600","","112","26","Lwt","Indoor Rower","No",""
"40515997","2019-11-02 18:22:00","10000m row","""48:16.3""","2896.3","","","10000","","22","","2:24.8","115","696","574","","112","26","Lwt","Indoor Rower","No",""
"40515996","2019-10-31 22:07:00","5000m row","""25:31.7""","1531.7","","","5000","","20","","2:33.1","97","635","299","","116","26","Lwt","Indoor Rower","No",""
"40515995","2019-10-12 10:43:00","18:56 row","""18:56.6""","1136.6","","","3300","","21","","2:52.2","69","535","184","","105","26","Lwt","Indoor Rower","No",""
"40515994","2019-10-09 07:36:00","5000m row","""27:08.5""","1628.5","","","5000","","19","","2:42.8","81","578","301","","116","26","Lwt","Indoor Rower","No",""
"40515993","2019-10-08 07:04:00","10000m row","""51:45.7""","3105.7","","","10000","","20","","2:35.2","93","621","600","","116","26","Lwt","Indoor Rower","No",""
"40515992","2019-10-04 18:54:00","v1000m/1:00r...10 row","""12:51.7""","771.7","10:00.0","600","3200","584","26","","2:00.5","200","987","217","","116","26","Lwt","Indoor Rower","No",""
"40515990","2019-09-29 09:37:00","5000m row","""25:25.6""","1525.6","","","5000","","21","","2:32.5","99","639","299","","115","26","Lwt","Indoor Rower","No",""
"40515989","2019-09-21 17:18:00","v1000m/1:00r...10 row","""13:11.3""","791.3","10:00.0","600","3200","478","26","","2:03.6","185","937","211","","116","26","Lwt","Indoor Rower","No",""
"40515988","2019-09-15 14:52:00","v1000m/1:00r...10 row","""13:16.7""","796.7","10:00.0","600","3200","585","26","","2:04.4","181","924","211","","117","26","Lwt","Indoor Rower","No",""
"40515987","2019-09-14 17:44:00","10000m row","""49:00.2""","2940.2","","","10000","","21","","2:27.0","110","679","586","","117","26","Lwt","Indoor Rower","No",""
"40515986","2019-09-10 21:07:00","5000m row","""30:14.1""","1814.1","","","5000","","15","","3:01.4","59","501","311","","117","26","Lwt","Indoor Rower","No",""
"40515985","2019-09-08 11:56:00","v1000m/1:00r...10 row","""13:08.1""","788.1","10:00.0","600","3200","555","25","","2:03.1","187","945","218","","117","26","Lwt","Indoor Rower","No",""
"40515984","2019-09-07 12:20:00","v1000m/1:00r...10 row","""12:50.9""","770.9","10:00.0","600","3200","541","26","","2:00.4","200","989","215","","117","26","Lwt","Indoor Rower","No",""
"40515983","2019-09-01 19:28:00","v1000m/1:00r...11 row","""9:20.5""","560.5","11:00.0","660","2500","714","27","","1:52.1","248","1155","179","","116","26","Lwt","Indoor Rower","No",""
"40515982","2019-08-28 19:47:00","v1000m/1:00r...9 row","""12:43.5""","763.5","8:00.0","480","3050","581","24","","2:05.1","178","914","199","","113","26","Lwt","Indoor Rower","No",""
"40515981","2019-08-27 08:01:00","5000m row","""27:34.2""","1654.2","","","5000","","19","","2:45.4","77","566","287","","116","26","Lwt","Indoor Rower","No",""
"40515980","2019-08-24 18:17:00","5000m row","""25:03.6""","1503.6","","","5000","","21","","2:30.3","103","654","295","","119","26","Lwt","Indoor Rower","No",""
"40515979","2019-08-22 07:46:00","v2000m/r...12 row","""23:42.0""","1422","10:00.0","600","5000","895","23","","2:22.2","122","718","317","","117","26","Lwt","Indoor Rower","No",""
"40515978","2019-08-20 07:47:00","5000m row","""26:01.0""","1561","","","5000","","21","","2:36.1","92","616","303","","116","26","Lwt","Indoor Rower","No",""
"40515977","2019-08-18 18:26:00","v2:00/r...11 row","""8:49.2""","529.2","8:00.0","480","2221","1030","29","","1:59.1","207","1012","154","","118","26","Lwt","Indoor Rower","No",""
"40515976","2019-08-17 09:10:00","10000m row","""51:55.3""","3115.3","","","10000","","22","","2:35.7","93","618","589","","114","26","Lwt","Indoor Rower","No",""
"40515975","2019-08-14 07:22:00","2x500m/2:00r row","""3:33.0""","213","4:00.0","240","1000","72","29","","1:46.5","290","1297","76","","118","26","Lwt","Indoor Rower","No",""
"40515974","2019-08-14 07:14:00","9:19 row","""9:19.9""","559.9","","","1957","","25","","2:23.0","120","711","117","","117","26","Lwt","Indoor Rower","No",""
"40515973","2019-08-11 19:27:00","v2:00/r...15 row","""10:59.9""","659.9","9:00.0","540","2575","485","26","","2:08.1","166","872","178","","115","26","Lwt","Indoor Rower","No",""
"39162253","2019-07-21 18:59:00","5000m row","""22:49.4""","1369.4","","","5000","","25","","2:16.9","136","769","299","","116","26","Lwt","Indoor Rower","No",""
"39162252","2019-07-18 08:02:00","5000m row","""22:37.9""","1357.9","","","5000","","24","","2:15.7","140","781","298","","115","26","Lwt","Indoor Rower","No",""
"39162251","2019-07-16 07:56:00","2000m row","""7:45.8""","465.8","","","2000","","28","","1:56.4","222","1062","136","","117","26","Lwt","Indoor Rower","Yes",""
"39162250","2019-07-15 08:02:00","5000m row","""23:23.8""","1403.8","","","5000","","23","","2:20.3","127","735","307","","117","26","Lwt","Indoor Rower","No",""
"39162249","2019-07-10 07:50:00","10000m row","""46:10.9""","2770.9","","","10000","","25","","2:18.5","132","752","591","","116","26","Lwt","Indoor Rower","No",""
"39162247","2019-07-09 20:20:00","5:00 row","""5:00.0""","300","","","1129","","25","","2:12.8","149","813","65","","117","26","Lwt","Indoor Rower","No",""
"39162246","2019-07-08 08:06:00","5000m row","""22:54.6""","1374.6","","","5000","","25","","2:17.4","135","763","296","","116","26","Lwt","Indoor Rower","No",""
"39162245","2019-07-07 19:23:00","5000m row","""22:33.9""","1353.9","","","5000","","26","","2:15.3","141","785","296","","115","26","Lwt","Indoor Rower","No",""
"39162244","2019-07-07 18:59:00","24:10 row","""24:10.2""","1450.2","","","5017","","25","","2:24.5","116","698","310","","116","26","Lwt","Indoor Rower","No",""
"39162243","2019-07-05 08:00:00","10000m row","""46:24.1""","2784.1","","","10000","","24","","2:19.2","130","746","590","","116","26","Lwt","Indoor Rower","No",""
"39162242","2019-07-02 22:28:00","5000m row","""21:40.6""","1300.6","","","5000","","26","","2:10.0","159","847","305","","116","26","Lwt","Indoor Rower","No",""
"39162241","2019-07-02 07:45:00","5000m row","""21:55.5""","1315.5","","","5000","","26","","2:11.5","154","829","315","","116","26","Lwt","Indoor Rower","No",""
"39162240","2019-07-01 07:49:00","10000m row","""45:47.6""","2747.6","","","10000","","25","","2:17.3","135","764","596","","115","26","Lwt","Indoor Rower","No",""
"39162239","2019-06-27 19:27:00","23:56 row","""23:56.7""","1436.7","","","5020","","24","","2:23.0","119","711","294","","116","26","Lwt","Indoor Rower","No",""
"39162238","2019-06-26 21:15:00","8:24 row","""8:24.8""","504.8","","","2018","","26","","2:05.0","179","915","132","","116","26","Lwt","Indoor Rower","No",""
"39162237","2019-06-25 08:10:00","5000m row","""22:19.4""","1339.4","","","5000","","24","","2:13.9","146","801","309","","114","26","Lwt","Indoor Rower","No",""
"39162236","2019-06-23 10:08:00","5000m row","""22:09.4""","1329.4","","","5000","","23","","2:12.9","149","812","306","","116","26","Lwt","Indoor Rower","No",""
"39162235","2019-06-22 10:18:00","10000m row","""45:35.8""","2735.8","","","10000","","24","","2:16.7","137","770","598","","117","26","Lwt","Indoor Rower","No",""
"39162233","2019-06-21 07:37:00","8:25 row","""8:25.4""","505.4","","","2016","","25","","2:05.3","178","911","127","","117","26","Lwt","Indoor Rower","No",""
"39162232","2019-06-20 07:54:00","10000m row","""45:25.0""","2725","","","10000","","25","","2:16.2","138","776","595","","115","26","Lwt","Indoor Rower","No",""
"39162231","2019-06-18 19:56:00","5000m row","""21:53.7""","1313.7","","","5000","","26","","2:11.3","154","831","302","","115","26","Lwt","Indoor Rower","No",""
"39162230","2019-06-18 07:56:00","5000m row","""20:54.7""","1254.7","","","5000","","26","","2:05.4","177","909","315","","116","26","Lwt","Indoor Rower","No",""
"39162229","2019-06-17 19:51:00","10000m row","""47:50.8""","2870.8","","","10000","","23","","2:23.5","118","707","568","","116","26","Lwt","Indoor Rower","No",""
"39162228","2019-06-14 21:50:00","2000m row","""7:59.3""","479.3","","","2000","","26","","1:59.8","203","1000","131","","116","26","Lwt","Indoor Rower","No",""
"39162227","2019-06-14 08:00:00","10000m row","""48:03.1""","2883.1","","","10000","","23","","2:24.1","117","702","568","","117","26","Lwt","Indoor Rower","No",""
"39162226","2019-06-13 08:04:00","2000m row","""8:07.4""","487.4","","","2000","","27","","2:01.8","193","965","129","","117","26","Lwt","Indoor Rower","No",""
"39162225","2019-06-12 20:56:00","2000m row","""8:17.9""","497.9","","","2000","","26","","2:04.4","181","924","127","","117","26","Lwt","Indoor Rower","No",""
"39162224","2019-06-12 07:48:00","2000m row","""7:58.4""","478.4","","","2000","","26","","1:59.6","205","1004","130","","117","26","Lwt","Indoor Rower","No",""
"39162223","2019-06-10 15:43:00","5000m row","""21:15.2""","1275.2","","","5000","","24","","2:07.5","169","880","312","","116","26","Lwt","Indoor Rower","No",""
"39162221","2019-06-10 12:20:00","2x1000m/0:30r row","""8:06.4""","486.4","1:00.0","60","2000","28","27","","2:01.6","195","969","131","","116","26","Lwt","Indoor Rower","No",""
"39162217","2019-06-09 12:20:00","5000m row","""21:19.1""","1279.1","","","5000","","25","","2:07.9","167","875","309","","118","26","Lwt","Indoor Rower","No",""
"39162216","2019-06-08 20:13:00","5000m row","""20:55.4""","1255.4","","","5000","","24","","2:05.5","177","908","315","","117","26","Lwt","Indoor Rower","No",""
"39162215","2019-06-08 10:13:00","8:42 row","""8:42.8""","522.8","","","2018","","24","","2:09.5","161","854","125","","118","26","Lwt","Indoor Rower","No",""
"39162214","2019-06-07 07:59:00","2000m row","""8:10.1""","490.1","","","2000","","24","","2:02.5","190","954","128","","117","26","Lwt","Indoor Rower","No",""
"39162213","2019-06-05 22:11:00","5000m row","""21:29.9""","1289.9","","","5000","","26","","2:08.9","163","861","305","","115","26","Lwt","Indoor Rower","No",""
"39162212","2019-06-05 07:45:00","2000m row","""8:29.7""","509.7","","","2000","","27","","2:07.4","169","882","123","","115","26","Lwt","Indoor Rower","No",""
"39162211","2019-06-04 19:33:00","2000m row","""7:50.1""","470.1","","","2000","","29","","1:57.5","216","1042","134","","114","26","Lwt","Indoor Rower","No",""
"39162209","2019-06-04 07:56:00","5000m row","""22:00.2""","1320.2","","","5000","","26","","2:12.0","152","823","300","","116","26","Lwt","Indoor Rower","No",""
"39162208","2019-06-02 11:11:00","5000m row","""21:38.5""","1298.5","","","5000","","26","","2:09.8","160","850","304","","115","26","Lwt","Indoor Rower","No",""
"38440925","2019-06-01 17:20:00","2000m row","""9:28.9""","568.9","","","2000","","23","","2:22.2","122","718","112","","117","26","Lwt","Indoor Rower","No",""
"38440924","2019-06-01 16:19:00","2000m row","""7:55.4""","475.4","","","2000","","28","","1:58.8","208","1017","133","","117","26","Lwt","Indoor Rower","No",""
"38440923","2019-05-31 09:53:00","5000m row","""21:48.9""","1308.9","","","5000","","25","","2:10.8","156","837","302","","118","26","Lwt","Indoor Rower","No",""
"38440921","2019-05-30 19:11:00","2000m row","""7:52.2""","472.2","","","2000","","29","","1:58.0","213","1032","134","","118","26","Lwt","Indoor Rower","No",""
"38440919","2019-05-30 13:26:00","5000m row","""22:03.3""","1323.3","","","5000","","26","","2:12.3","151","819","304","","117","26","Lwt","Indoor Rower","No",""
"38440918","2019-05-29 18:36:00","5000m row","""22:43.5""","1363.5","","","5000","","24","","2:16.3","138","775","296","","118","26","Lwt","Indoor Rower","No",""
"38440917","2019-05-29 07:40:00","2000m row","""8:05.4""","485.4","","","2000","","28","","2:01.3","196","974","129","","119","26","Lwt","Indoor Rower","No",""
"38440916","2019-05-28 19:31:00","2000m row","""8:06.7""","486.7","","","2000","","27","","2:01.6","194","968","130","","118","26","Lwt","Indoor Rower","No",""
"38440915","2019-05-27 19:42:00","2000m row","""8:14.7""","494.7","","","2000","","25","","2:03.6","185","936","127","","116","26","Lwt","Indoor Rower","No",""
"38440913","2019-05-25 18:37:00","30:00 row","""30:00.0""","1800","","","4843","","25","","3:05.8","55","487","241","","162","26","Lwt","Indoor Rower","No",""
"38440912","2019-05-25 18:05:00","30:00 row","""30:00.0""","1800","","","4039","","22","","3:42.8","32","408","202","","104","26","Lwt","Indoor Rower","No",""
"38440911","2019-05-24 21:16:00","2000m row","""8:48.3""","528.3","","","2000","","25","","2:12.0","152","822","129","","105","26","Lwt","Indoor Rower","No",""
"38440910","2019-05-22 17:58:00","2000m row","""8:09.9""","489.9","","","2000","","28","","2:02.4","191","955","128","","107","26","Lwt","Indoor Rower","No",""
"38440909","2019-05-22 12:28:00","2000m row","""8:24.5""","504.5","","","2000","","22","","2:06.1","174","900","124","","107","26","Lwt","Indoor Rower","No",""
"38440908","2019-05-21 20:04:00","2x500m/1:00r row","""3:59.5""","239.5","2:00.0","120","1000","63","34","","1:59.7","204","1001","69","","106","26","Lwt","Indoor Rower","No",""
"38440906","2019-05-21 19:47:00","1x500m/1:00r row","""1:46.2""","106.2","1:00.0","60","500","16","31","","1:46.2","292","1305","38","","107","26","Lwt","Indoor Rower","No",""
"38440905","2019-05-21 19:40:00","2000m row","""8:49.8""","529.8","","","2000","","18","","2:12.4","151","818","119","","107","26","Lwt","Indoor Rower","No",""
"38440904","2019-05-19 17:13:00","1x500m/1:00r row","""1:52.4""","112.4","1:00.0","60","500","12","26","","1:52.4","246","1148","35","","105","26","Lwt","Indoor Rower","No",""
"38440903","2019-05-19 17:06:00","2000m row","""8:44.5""","524.5","","","2000","","21","","2:11.1","155","834","122","","105","26","Lwt","Indoor Rower","No",""
"38440902","2019-05-19 12:28:00","1x500m/1:00r row","""1:55.3""","115.3","1:00.0","60","500","404","26","","1:55.3","228","1085","34","","106","26","Lwt","Indoor Rower","No",""
"38440901","2019-05-19 12:21:00","2000m row","""8:46.3""","526.3","","","2000","","19","","2:11.5","154","828","120","","105","26","Lwt","Indoor Rower","No",""
"38440900","2019-05-18 20:29:00","2000m row","""8:36.3""","516.3","","","2000","","17","","2:09.0","163","860","122","","106","26","Lwt","Indoor Rower","No",""
"38440899","2019-05-18 13:02:00","2000m row","""8:53.1""","533.1","","","2000","","24","","2:13.2","148","808","127","","105","26","Lwt","Indoor Rower","No",""
"38440898","2019-05-14 18:47:00","10:04 row","""10:04.7""","604.7","","","2228","","23","","2:15.7","140","781","130","","108","26","Lwt","Indoor Rower","No",""
"38440897","2019-05-12 14:10:00","10:02 row","""10:02.7""","602.7","","","1902","","17","","2:38.4","88","602","100","","109","26","Lwt","Indoor Rower","No",""
"38440896","2019-05-12 13:57:00","3x500m/1:00r row","""6:12.2""","372.2","3:00.0","180","1500","60","22","","2:04.0","183","930","95","","109","26","Lwt","Indoor Rower","No",""
"38440893","2019-05-07 17:59:00","3x4:00/1:00r row","""12:00.0""","720","3:00.0","180","2728","37","24","","2:11.9","152","824","163","","107","26","Lwt","Indoor Rower","No",""
"38440890","2019-05-05 10:24:00","5:05 row","""5:05.1""","305.1","","","1034","","23","","2:27.5","109","675","56","","109","26","Lwt","Indoor Rower","No",""
"38440889","2019-05-04 20:29:00","1x500m/1:00r row","""1:53.3""","113.3","1:00.0","60","500","14","31","","1:53.3","241","1128","35","","109","26","Lwt","Indoor Rower","No",""
